Incident Number,Prefix,Incident Title,Incident Description,Incident Resolution,Resolution Team,Status,Status Update Date,Reported By,Institution,Institution Name,Reported Date,Location,Affected Person Department,Resolution Code,Source,Application Priority,Close Date
IN6312317,, Issue Description:  UPOS command bridge not set up for both workstation @ ED Counter 10,"When attempting to log in to the system, users receive an 'Authentication Failed' error after entering their credentials. This issue affects multiple users across various departments. The expected outcome is successful login and access to the dashboard, but instead, users are redirected to an error page. The problem occurs consistently across multiple login attempts, preventing access to the system.","The root cause was identified as a resource exhaustion issue on one of the shared database clusters that supports multiple NBS applications. A spike in background job executions, triggered by a misconfigured report scheduler, led to unusually high CPU and I/O usage during peak working hours. System performance has returned to normal.",FINANCE-COLLECTION_ALL,CLOSED,7/6/2025 0:02,USER73,TTSH,Tan Tock Seng Hospital,6/28/25 11:59 AM,TTSH_EMER-BLK_B01_ED,Amb - Emergency Medicine,HD_RESOLVABLE,EMAIL,2,7/6/2025 0:02
IN4812323,DUPLICATE, No upos integration counter 10,"When attempting to log in to the system, users receive an 'Authentication Failed' error after entering their credentials. This issue affects multiple users across various departments. The expected outcome is successful login and access to the dashboard, but instead, users are redirected to an error page. The problem occurs consistently across multiple login attempts, preventing access to the system.","The root cause was identified as a resource exhaustion issue on one of the shared database clusters that supports multiple NBS applications. A spike in background job executions, triggered by a misconfigured report scheduler, led to unusually high CPU and I/O usage during peak working hours. System performance has returned to normal.",FINANCE-COLLECTION_ALL,CLOSED,7/6/2025 0:02,USER54,TTSH,Tan Tock Seng Hospital,6/28/25 12:07 PM,TTSH_EMER-BLK_B01_ED,,NO ACTION TAKEN,EMAIL,2,7/6/2025 0:02
IN8412325,PENDING USER DECISION, Issue Description:  UPOS command bridge not connected for both EDX computer 19A and 19B,"When attempting to log in to the system, users receive an 'Authentication Failed' error after entering their credentials. This issue affects multiple users across various departments. The expected outcome is successful login and access to the dashboard, but instead, users are redirected to an error page. The problem occurs consistently across multiple login attempts, preventing access to the system.","The root cause was identified as a resource exhaustion issue on one of the shared database clusters that supports multiple NBS applications. A spike in background job executions, triggered by a misconfigured report scheduler, led to unusually high CPU and I/O usage during peak working hours. System performance has returned to normal.",FINANCE-COLLECTION_ALL,CLOSED,7/7/2025 0:00,USER62,TTSH,Tan Tock Seng Hospital,6/28/25 12:08 PM,TTSH_EMER-BLK_B01_ED,Amb - Emergency Medicine,NO ACTION TAKEN,EMAIL,2,7/7/2025 0:00
IN6112330,DUPLICATE, counter 10 cannot open cash desk,"When attempting to log in to the system, users receive an 'Authentication Failed' error after entering their credentials. This issue affects multiple users across various departments. The expected outcome is successful login and access to the dashboard, but instead, users are redirected to an error page. The problem occurs consistently across multiple login attempts, preventing access to the system.","The root cause was identified as a resource exhaustion issue on one of the shared database clusters that supports multiple NBS applications. A spike in background job executions, triggered by a misconfigured report scheduler, led to unusually high CPU and I/O usage during peak working hours. System performance has returned to normal.",FINANCE-COLLECTION_ALL,CLOSED,7/6/2025 0:02,USER88,TTSH,Tan Tock Seng Hospital,6/28/25 12:11 PM,TTSH_EMER-BLK_B01_ED,,HD_RESOLVABLE,EMAIL,1,7/6/2025 0:02
IN2412340,PENDING USER RESOLVE, Unable to add central cat in Scheme Inclusion Rule,"When attempting to log in to the system, users receive an 'Authentication Failed' error after entering their credentials. This issue affects multiple users across various departments. The expected outcome is successful login and access to the dashboard, but instead, users are redirected to an error page. The problem occurs consistently across multiple login attempts, preventing access to the system.","The root cause was identified as a resource exhaustion issue on one of the shared database clusters that supports multiple NBS applications. A spike in background job executions, triggered by a misconfigured report scheduler, led to unusually high CPU and I/O usage during peak working hours. System performance has returned to normal.",PAYORS-CLAIMS_ALL,CLOSED,7/12/2025 0:04,USER88,TTSH,Tan Tock Seng Hospital,6/28/25 12:35 PM,TTSH,Fin - Business Office,FIXCODE,EMAIL,2,7/12/2025 0:04
IN3312366,PENDING USER DECISION, ACTIVATED MCPS PAYOR CODE BUT SHOWING $0 ON PATIENT�S BILL,"When attempting to log in to the system, users receive an 'Authentication Failed' error after entering their credentials. This issue affects multiple users across various departments. The expected outcome is successful login and access to the dashboard, but instead, users are redirected to an error page. The problem occurs consistently across multiple login attempts, preventing access to the system.","The root cause was identified as a resource exhaustion issue on one of the shared database clusters that supports multiple NBS applications. A spike in background job executions, triggered by a misconfigured report scheduler, led to unusually high CPU and I/O usage during peak working hours. System performance has returned to normal.",PAYORS-CLAIMS_ALL,CLOSED,7/6/2025 0:02,USER82,TTSH,Tan Tock Seng Hospital,6/28/25 2:35 PM,TTSH_EMER-BLK_B01_ED,Amb - Emergency Medicine,CONFIGURATION,EMAIL,2,7/6/2025 0:02
IN8812385,PENDING USER DECISION, [PS1 Drug Interface service slice not auto created even though all other drug attributes and FOR_BT_SETUP are not end-dated],"When verifying mcaf-m in NBS, the system confirms the entry, but it does not appear in the interim bill. Steps to reproduce include navigating to the billing section, verifying mcaf-m, and checking the interim bill. The issue affects multiple users in the billing department, causing delays. The expected outcome is for verified mcaf-m to reflect in the interim bill, but it remains missing, leading to incomplete billing information.","The root cause was identified as a resource exhaustion issue on one of the shared database clusters that supports multiple NBS applications. A spike in background job executions, triggered by a misconfigured report scheduler, led to unusually high CPU and I/O usage during peak working hours. System performance has returned to normal.",CHARGING_ALL,CLOSED,7/8/2025 0:08,USER31,TTSH,Tan Tock Seng Hospital,6/28/25 4:37 PM,TTSH,PH - Pharmacy Informatics,NO ACTION TAKEN,EMAIL,2,7/8/2025 0:08
IN4112386,MONITORING," Drug code ""ITM-001318"" not found in Flexigroup Drug ""CSMDRTB"" after update in PS1","When attempting to tag the GPfirst insurance code [SR] in the billing system, an error message appears stating 'Tagging Failed.' The issue occurs when selecting the insurance code from the dropdown menu and clicking 'Apply.' The expected outcome is the code being successfully tagged and saved, but instead, the system returns an error. This issue affects multiple users and prevents accurate insurance billing.","The root cause was identified as a resource exhaustion issue on one of the shared database clusters that supports multiple NBS applications. A spike in background job executions, triggered by a misconfigured report scheduler, led to unusually high CPU and I/O usage during peak working hours. System performance has returned to normal.",PAYORS-CLAIMS_ALL,CLOSED,7/15/25 12:05 AM,USER51,TTSH,Tan Tock Seng Hospital,6/28/25 4:37 PM,TTSH,PH - Pharmacy Informatics,BATCHRERUN,EMAIL,2,7/15/25 12:05 AM
IN5312482,PENDING USER RESOLVE, PS1 is not sending Drug Error Log notification email despite having error,"When attempting to switch between patient records in the NBS system, the context switch feature becomes unresponsive. Users have reported that after selecting a different patient or billing screen, the system freezes or fails to load the new context. The issue affects multiple users across different departments, leading to delays in processing billing requests. The expected outcome is seamless navigation between records, but the actual result is a system hang requiring manual restart.","The root cause was identified as a resource exhaustion issue on one of the shared database clusters that supports multiple NBS applications. A spike in background job executions, triggered by a misconfigured report scheduler, led to unusually high CPU and I/O usage during peak working hours. System performance has returned to normal.",CHARGING_ALL,CLOSED,7/15/25 12:05 AM,USER87,TTSH,Tan Tock Seng Hospital,6/29/25 12:27 PM,TTSH_ANX-BLK-1_L02_INPAT-PHAR,"PH - Procurement, Supply & Manufacturing",WORK AS DESIGN,EMAIL,3,7/15/25 12:05 AM
IN1312613,DUPLICATE," Manage Billable Events - 1 min to search BE, 3 min to load payor and scheme info","When attempting to sign forms in eFORM through NBS, an error message is displayed, preventing successful form submission. The issue occurs after selecting 'Submit' following form completion. Multiple users across departments have encountered this problem. The expected outcome is a confirmation of form submission, but the actual result is an error message, causing delays in form processing.","The root cause was identified as a resource exhaustion issue on one of the shared database clusters that supports multiple NBS applications. A spike in background job executions, triggered by a misconfigured report scheduler, led to unusually high CPU and I/O usage during peak working hours. System performance has returned to normal.",LEADS_ALL,CLOSED,7/22/25 12:01 AM,USER31,TTSH,Tan Tock Seng Hospital,6/30/25 8:09 AM,TTSH_MC-BLK_L03_DAY-SUR-CTR,"Sur - Anaesthesio, Intsv Care & Pain Med",NO ACTION TAKEN,EMAIL,2,7/22/25 12:01 AM
IN8512635,, Cash Desk Monitoring & Handover Confirmation - Unable to find branch in dropdown selection,"When attempting to log in to the system, users receive an 'Authentication Failed' error after entering their credentials. This issue affects multiple users across various departments. The expected outcome is successful login and access to the dashboard, but instead, users are redirected to an error page. The problem occurs consistently across multiple login attempts, preventing access to the system.","The root cause was identified as a resource exhaustion issue on one of the shared database clusters that supports multiple NBS applications. A spike in background job executions, triggered by a misconfigured report scheduler, led to unusually high CPU and I/O usage during peak working hours. System performance has returned to normal.",FINANCE-COLLECTION_ALL,CLOSED,7/8/2025 0:09,USER98,TTSH,Tan Tock Seng Hospital,6/30/25 8:47 AM,TTSH_TB_L01_HEC,Amb - Health Enrichment Centre,HD_RESOLVABLE,EMAIL,2,7/8/2025 0:09
IN8412673,, NBS System very lagging with error message (Main Performance Ticket),"When attempting to install the Topaz Driver for TTSH eForms as per the email instructions, users encounter an 'Installation Failed' error during the setup process. This issue affects multiple users across departments. The expected outcome is a successful installation enabling the use of eForms, but instead, the installation fails, preventing access to the system.","The root cause was identified as a resource exhaustion issue on one of the shared database clusters that supports multiple NBS applications. A spike in background job executions, triggered by a misconfigured report scheduler, led to unusually high CPU and I/O usage during peak working hours. System performance has returned to normal.",LEADS_ALL,CLOSED,7/20/25 12:00 AM,USER99,TTSH,Tan Tock Seng Hospital,6/30/25 9:13 AM,TTSH_MC-BLK_L03_DAY-SUR-CTR,"Sur - Anaesthesio, Intsv Care & Pain Med",NO ACTION TAKEN,EMAIL,1,7/20/25 12:00 AM
IN6012682,PENDING USER RESOLVE," Manage Billable Events - Unable to retrieve billable events CSN No. 100224307872,100246462562, 100249238046, 100250618992","When attempting to access the National Billing System, users enter their credentials but receive an 'Authentication Failed' error. This issue affects multiple colleagues across different departments. The expected outcome is successful login to the dashboard, but instead, users are redirected to an error page. The problem persists despite repeated attempts.","The root cause was identified as a resource exhaustion issue on one of the shared database clusters that supports multiple NBS applications. A spike in background job executions, triggered by a misconfigured report scheduler, led to unusually high CPU and I/O usage during peak working hours. System performance has returned to normal.",BILLING_ALL,CLOSED,7/10/2025 0:04,USER55,TTSH,Tan Tock Seng Hospital,6/30/25 9:18 AM,TTSH_MC-BLK_B02_PAC&E,AO - Clinical Ops (Surgery) - Clinic,BATCHRERUN,PHONECALL,2,7/10/2025 0:04
IN9912686,, Cash Desk Opening Issue,"When attempting to access the National Billing System (NBS), users enter their credentials but receive an 'Authentication Failed' error. This issue affects multiple colleagues across various departments. The expected outcome is a successful login to the dashboard, but instead, users are redirected to an error page. The problem persists despite repeated attempts.","The root cause was identified as a resource exhaustion issue on one of the shared database clusters that supports multiple NBS applications. A spike in background job executions, triggered by a misconfigured report scheduler, led to unusually high CPU and I/O usage during peak working hours. System performance has returned to normal.",FINANCE-COLLECTION_ALL,CLOSED,7/8/2025 0:10,USER52,TTSH,Tan Tock Seng Hospital,6/30/25 9:21 AM,TTSH_BLK101_B01_FLC,AH - Physiotherapy,HD_RESOLVABLE,PHONECALL,2,7/8/2025 0:10
IN3412693,, Cases are not flowing to the uncoded casemix and Mediclaim account WQ,"When attempting to access the Cash Desk Monitoring & Handover Confirmation feature, users are unable to locate their branch in the dropdown selection. Steps to reproduce: 1) Log in to the system, 2) Navigate to Cash Desk Monitoring, 3) Click on the branch dropdown. Actual outcome: The branch list is empty or missing. Expected outcome: The dropdown should display all available branches for selection. This issue affects multiple users across different departments, causing delays in handover confirmations.","The root cause was identified as a resource exhaustion issue on one of the shared database clusters that supports multiple NBS applications. A spike in background job executions, triggered by a misconfigured report scheduler, led to unusually high CPU and I/O usage during peak working hours. System performance has returned to normal.",LEADS_ALL,CLOSED,7/9/2025 0:07,USER73,TTSH,Tan Tock Seng Hospital,6/30/25 9:25 AM,TTSH,CMB - Clinical & Health Informatics Ofc,NO ACTION TAKEN,SELFSERVICE,3,7/9/2025 0:07
IN4512696,,User Cannot Login to NBS [New users],"When attempting to access the BS staging environment via logon at devhealthgrp.com.sg, users encounter an 'Access Denied' error after entering credentials. This issue affects multiple developers and testers. The expected outcome is a successful login to the staging environment, but instead, users are redirected to an error page. The problem persists across multiple login attempts.","The root cause was identified as a resource exhaustion issue on one of the shared database clusters that supports multiple NBS applications. A spike in background job executions, triggered by a misconfigured report scheduler, led to unusually high CPU and I/O usage during peak working hours. System performance has returned to normal.",UAM_ALL,CLOSED,7/8/2025 0:10,USER52,TTSH,Tan Tock Seng Hospital,6/30/25 9:28 AM,TTSH-OFFSITE_NCID-BLKG,NCID - NCID Nursing,NO ACTION TAKEN,PHONECALL,2,7/8/2025 0:10
IN5912731,DUPLICATE, NBS slowness with error message,"When accessing the billing system, the counter cash desk option is missing from the interface. Users expected to find the cash desk feature under the billing menu to process payments, but it is not visible. This issue affects multiple users across departments, leading to delayed payment processing. The expected outcome was easy access to the cash desk for handling transactions, but the feature is entirely absent.","The root cause was identified as a resource exhaustion issue on one of the shared database clusters that supports multiple NBS applications. A spike in background job executions, triggered by a misconfigured report scheduler, led to unusually high CPU and I/O usage during peak working hours. System performance has returned to normal.",LEADS_ALL,CLOSED,7/17/25 12:03 AM,USER99,TTSH,Tan Tock Seng Hospital,6/30/25 9:44 AM,TTSH,"Sur - Anaesthesio, Intsv Care & Pain Med",NO ACTION TAKEN,EMAIL,1,7/17/25 12:03 AM
IN1212750,DUPLICATE, Fiori main page error: App could not be opened because the SAP UI5 component of the application could not be loaded,"Users are unable to add a central category in the Scheme Inclusion Rule. After navigating to the section, entering details, and clicking 'Add,' the system fails to save or confirm the addition, showing an error. This issue impacts multiple departments, disrupting accurate billing processes. The expected outcome was successful category addition, but the system currently prevents it, leading to delays and manual workarounds.","The root cause was identified as a resource exhaustion issue on one of the shared database clusters that supports multiple NBS applications. A spike in background job executions, triggered by a misconfigured report scheduler, led to unusually high CPU and I/O usage during peak working hours. System performance has returned to normal.",LEADS_ALL,CLOSED,7/22/25 12:02 AM,USER35,TTSH,Tan Tock Seng Hospital,6/30/25 9:51 AM,TTSH_MC-BLK_L02_CLI2A,AO - Clinical Ops (Surgery) - Clinic,NO ACTION TAKEN,EMAIL,2,7/22/25 12:02 AM
IN8012771,PENDING USER RESOLVE, Manage Billable Events - PM Reference ID 100252303971 could not be found,"The system is experiencing slowness across all NBS apps. Steps to reproduce: 1) Log in, 2) Use any NBS application. Actual outcome: Significant delays in app responses. Expected outcome: Normal performance. This issue affects multiple users, impacting productivity and efficiency in managing billing processes.","The root cause was identified as a resource exhaustion issue on one of the shared database clusters that supports multiple NBS applications. A spike in background job executions, triggered by a misconfigured report scheduler, led to unusually high CPU and I/O usage during peak working hours. System performance has returned to normal.",BILLING_ALL,CLOSED,7/9/2025 0:07,USER64,TTSH,Tan Tock Seng Hospital,6/30/25 10:01 AM,TTSH,"Sur - Anaesthesio, Intsv Care & Pain Med",NO ACTION TAKEN,PHONECALL,2,7/9/2025 0:07
IN3312808,DUPLICATE, Manage Billable Events - DS admission case CSN No. 100250781709 took 30min before can retrieve due to batch job processing,"The system is experiencing slowness across all NBS applications. Steps to reproduce: 1) Log in, 2) Use any NBS application, 3) Perform typical actions. Actual outcome: Significant delays in app responses. Expected outcome: Normal performance. This issue affects multiple users, impacting productivity and efficiency in managing billing processes.","The root cause was identified as a resource exhaustion issue on one of the shared database clusters that supports multiple NBS applications. A spike in background job executions, triggered by a misconfigured report scheduler, led to unusually high CPU and I/O usage during peak working hours. System performance has returned to normal.",BILLING_ALL,CLOSED,7/22/25 12:02 AM,USER59,TTSH,Tan Tock Seng Hospital,6/30/25 10:30 AM,TTSH_MC-BLK_L03_DAY-SUR-CTR,"Sur - Anaesthesio, Intsv Care & Pain Med",NO ACTION TAKEN,EMAIL,2,7/22/25 12:02 AM
IN9912849,DUPLICATE, ICH Facing slowness across all NBS apps,"The system identified that IP lines cancelled on 28/06 in EPIC were not reflected in NBS under PM Reference Number 100252467115. Steps to reproduce: 1) Access EPIC, 2) Verify IP line status, 3) Cross-check in NBS. Actual outcome: Discrepancy in IP line status between systems. Expected outcome: IP line status should sync across both systems. This issue affects multiple users and causes billing inconsistencies.","The root cause was identified as a resource exhaustion issue on one of the shared database clusters that supports multiple NBS applications. A spike in background job executions, triggered by a misconfigured report scheduler, led to unusually high CPU and I/O usage during peak working hours. System performance has returned to normal.",LEADS_ALL,CLOSED,7/19/25 12:03 AM,USER58,TTSH,Tan Tock Seng Hospital,6/30/25 10:50 AM,TTSH,NUR - Integrated Care Hub,NO ACTION TAKEN,PHONECALL,1,7/19/25 12:03 AM
IN5712937,DUPLICATE, NBS slowness,"The system displays an error when attempting to manage billable events: 'PM Reference ID 100252303971 could not be found.' Steps to reproduce: 1) Log in, 2) Navigate to Manage Billable Events, 3) Enter or select PM Reference ID 100252303971. Actual outcome: Error message appears, and the event cannot be managed. Expected outcome: The system should retrieve and display the billable event details. This issue affects multiple users, causing delays in billing processes.","The root cause was identified as a resource exhaustion issue on one of the shared database clusters that supports multiple NBS applications. A spike in background job executions, triggered by a misconfigured report scheduler, led to unusually high CPU and I/O usage during peak working hours. System performance has returned to normal.",LEADS_ALL,CLOSED,7/22/25 12:02 AM,USER82,TTSH,Tan Tock Seng Hospital,6/30/25 11:40 AM,TTSH_TB_L05_WD5C,NUR - Acute Care,NO ACTION TAKEN,PHONECALL,2,7/22/25 12:02 AM
IN5212959,PENDING USER RESOLVE, NCID Experiencing Slowness in NBS (Main Performance Ticket),"The system delayed retrieval of DS admission case CSN No. 100250781709 by 30 minutes due to batch job processing. Steps to reproduce: 1) Log in, 2) Navigate to Manage Billable Events, 3) Enter CSN No. 100250781709. Actual outcome: 30-minute delay before retrieval. Expected outcome: Immediate retrieval. This issue affects multiple users, causing delays in processing billable events.","The root cause was identified as a resource exhaustion issue on one of the shared database clusters that supports multiple NBS applications. A spike in background job executions, triggered by a misconfigured report scheduler, led to unusually high CPU and I/O usage during peak working hours. System performance has returned to normal.",LEADS_ALL,CLOSED,8/6/2025 0:00,USER82,TTSH,Tan Tock Seng Hospital,6/30/25 12:06 PM,TTSH,NCID - NCID Nursing,NO ACTION TAKEN,PHONECALL,2,8/6/2025 0:00
IN7512964,PENDING USER RESOLVE - SERVICE REQUEST, IP lines cancelled on 28/06 in EPIC but not in NBS PM Reference Number 100252467115,"The RCH system is experiencing slowness, impacting user operations. Steps to reproduce: 1) Log in, 2) Perform typical actions, 3) Monitor response time. Actual outcome: Delays in system responses. Expected outcome: Normal performance. This issue affects multiple users, leading to reduced productivity and efficiency in managing billing processes.","The root cause was identified as a resource exhaustion issue on one of the shared database clusters that supports multiple NBS applications. A spike in background job executions, triggered by a misconfigured report scheduler, led to unusually high CPU and I/O usage during peak working hours. System performance has returned to normal.",BILLING_ALL,CLOSED,7/10/2025 0:04,USER35,TTSH,Tan Tock Seng Hospital,6/30/25 12:13 PM,TTSH_EMER-BLK_B01_ED,Amb - Emergency Medicine,CONFIGURATION,EMAIL,2,7/10/2025 0:04
IN8312966,DUPLICATE, RCH System slowness,"The NBS system is experiencing slowness, impacting performance. Steps to reproduce: 1) Log in, 2) Use any NBS application, 3) Perform typical actions. Actual outcome: Significant delays in app responses. Expected outcome: Normal performance. This issue affects multiple users, causing delays in billing processes and reduced productivity.","The root cause was identified as a resource exhaustion issue on one of the shared database clusters that supports multiple NBS applications. A spike in background job executions, triggered by a misconfigured report scheduler, led to unusually high CPU and I/O usage during peak working hours. System performance has returned to normal.",LEADS_ALL,CLOSED,7/22/25 12:02 AM,USER27,TTSH,Tan Tock Seng Hospital,6/30/25 12:14 PM,TTSH,NUR - Acute Care,NO ACTION TAKEN,EMAIL,2,7/22/25 12:02 AM
IN2413007,, Workstation hostname (NNINDL240008LWS) does not appear in drop-down list for Cash counter Opening.  NBS only showed the old hostname (NNINML191016LWS) for the workstation,"When verifying mcaf-m in NBS, the system confirms the entry, but it does not appear in the interim bill. Steps to reproduce include navigating to the billing section, verifying mcaf-m, and checking the interim bill. The issue affects multiple users in the billing department, causing delays. The expected outcome is for verified mcaf-m to reflect in the interim bill, but it remains missing, leading to incomplete billing information.","The root cause was identified as a resource exhaustion issue on one of the shared database clusters that supports multiple NBS applications. A spike in background job executions, triggered by a misconfigured report scheduler, led to unusually high CPU and I/O usage during peak working hours. System performance has returned to normal.",FINANCE-COLLECTION_ALL,CLOSED,7/8/2025 0:13,USER12,NNI,National Neuroscience Institute,6/30/25 12:45 PM,NNI_NNIBLK_L02_NEURO-DIA-LAB,Neuroscience Clinics,HD_RESOLVABLE,EMAIL,3,7/8/2025 0:13
